方向编号,方向,序号,标题,作者,出处,年份,国别,被引,DOI,OpenAlexID
D1,水产养殖智能投喂与摄食行为智能感知,20,Survey on machine vision-based intelligent water quality monitoring techniques in water treatment plant: Fish activity behavior recognition-based schemes and applications,"Pengfei Xu, Xianyi Liu, Jinping Liu, Meiling Cai, Ying Zhou, Shanshan Hu, Minlian Chen",Demonstratio Mathematica,2024,国内,5,10.1515/dema-2024-0010,W4402786781
D1,水产养殖智能投喂与摄食行为智能感知,21,The contribution of aquaculture systems to global aquaculture production,"M.C.J. Verdegem, Alejandro H. Buschmann, U. Win Latt, Anne Johanne Tang Dalsgaard, A. Lovatelli",Journal of the World Aquaculture Society,2023,国外,308,10.1111/jwas.12963,W4376139793
D1,水产养殖智能投喂与摄食行为智能感知,22,Dynamics of aquaculture governance,"Curtis M. Jolly, Beatrice Nyandat, Zhengyong Yang, Neil B. Ridler, Felipe Matias, Zhiyi Zhang, Pierre Murekezi, Ana Maria Baptista Menezes",Journal of the World Aquaculture Society,2023,国内(合作),91,10.1111/jwas.12967,W4367183686
D1,水产养殖智能投喂与摄食行为智能感知,23,A review on the recent advances and application of vaccines against fish pathogens in aquaculture,"Haimanti Mondal, John Thomas",Aquaculture International,2022,国外,225,10.1007/s10499-022-00884-w,W4225263887
D1,水产养殖智能投喂与摄食行为智能感知,24,A 20-year retrospective review of global aquaculture,"Rosamond L. Naylor, Ronald W. Hardy, Alejandro H. Buschmann, Simon R. Bush, Ling Cao, Dane H. Klinger, David C. Little, Jane Lubchenco, Sandra E. Shumway, Max Troell",Nature,2021,国内(合作),2234,10.1038/s41586-021-03308-6,W3139026324
D1,水产养殖智能投喂与摄食行为智能感知,25,An overview of disruptive technologies for aquaculture,"Kangning Yue, Yubang Shen",Aquaculture and Fisheries,2021,国内(合作),212,10.1016/j.aaf.2021.04.009,W3171682240
D2,水下图像增强与水下目标检测识别,1,A Comprehensive Survey on Underwater Image Enhancement Based on Deep Learning,"Xiaofeng Cong, Yu Zhao, Jie Gui, Junming Hou, Dacheng Tao",IEEE Transactions on Emerging Topics in Computational Intelligence,2026,国外,18,10.1109/tetci.2026.3668671,W7143377352
D2,水下图像增强与水下目标检测识别,2,Advancing Underwater Vision: A Survey of Deep Learning Models for Underwater Object Recognition and Tracking,"Mahmoud Elmezain, Lyes Saad Saoud, Atif Sultan, Mohamed Heshmat, Lakmal Seneviratne, Irfan Hussain",IEEE Access,2025,国外,115,10.1109/access.2025.3534098,W4406812022
D2,水下图像增强与水下目标检测识别,3,WaterCycleDiffusion: Visual–textual fusion empowered underwater image enhancement,"Hao Wang, Weibo Zhang, Yinghao Xu, Huanyu Li, Peng Ren",Information Fusion,2025,国内(合作),96,10.1016/j.inffus.2025.103693,W4414077958
D2,水下图像增强与水下目标检测识别,4,Adaptive deep learning framework for robust unsupervised underwater image enhancement,"Alzayat Saleh, Marcus Sheaves, Dean R. Jerry, Mostafa Rahimi Azghadi",Expert Systems with Applications,2025,国外,92,10.1016/j.eswa.2024.126314,W4405997983
D2,水下图像增强与水下目标检测识别,5,HCMPE-Net: An unsupervised network for underwater image restoration with multi-parameter estimation based on homology constraint,"Dan Xiang, Dengyu He, Haowei Sun, Pan Gao, Jinwen Zhang, Jing Ling",Optics & Laser Technology,2025,国内,87,10.1016/j.optlastec.2025.112616,W4407805476
D2,水下图像增强与水下目标检测识别,6,Unveiling the underwater world: CLIP perception model-guided underwater image enhancement,"Jiangzhong Cao, Zekai Zeng, Xu Zhang, Huan Zhang, Huan Zhang, C.M. Fan, Gangyi Jiang, Weisi Lin",Pattern Recognition,2025,国内,32,10.1016/j.patcog.2025.111395,W4406781740
D2,水下图像增强与水下目标检测识别,7,Comparative Analysis of Traditional and Deep Learning Approaches for Underwater Remote Sensing Image Enhancement: A Quantitative Study,"Yunsheng Ma, Yanan Cheng, Dapeng Zhang",Journal of Marine Science and Engineering,2025,国内,16,10.3390/jmse13050899,W4410069170
D2,水下图像增强与水下目标检测识别,8,UADiff: A Deep Underwater Image Enhancement Network Using Generative Diffusion Prior and Uncertainty-Aware Learning,"Yang Ou, Alireza Esmaeilzehi, M. Omair Ahmad, M.N.S. Swamy",IEEE Transactions on Geoscience and Remote Sensing,2025,国内,12,10.1109/tgrs.2025.3578927,W4411688614
D2,水下图像增强与水下目标检测识别,9,HCLR-Net: Hybrid Contrastive Learning Regularization with Locally Randomized Perturbation for Underwater Image Enhancement,"Jingchun Zhou, Jiaming Sun, Chongyi Li, Qiuping Jiang, Man Zhou, Kin‐Man Lam, Weishi Zhang, Xianping Fu",International Journal of Computer Vision,2024,国内,203,10.1007/s11263-024-01987-y,W4391520444
D2,水下图像增强与水下目标检测识别,10,DICAM: Deep Inception and Channel-wise Attention Modules for underwater image enhancement,"Hamidreza Farhadi Tolie, Jinchang Ren, Eyad Elyan",Neurocomputing,2024,国外,132,10.1016/j.neucom.2024.127585,W4393128698
D2,水下图像增强与水下目标检测识别,11,Underwater dam crack image generation based on unsupervised image-to-image translation,"Ben Huang, Fei Kang, Xinyu Li, Sisi Zhu",Automation in Construction,2024,国内,112,10.1016/j.autcon.2024.105430,W4395688050
D2,水下图像增强与水下目标检测识别,12,INSPIRATION: A reinforcement learning-based human visual perception-driven image enhancement paradigm for underwater scenes,"Hao Wang, Shixin Sun, Laibin Chang, Huanyu Li, Wenwen Zhang, Alejandro C. Frery, Peng Ren",Engineering Applications of Artificial Intelligence,2024,国内,101,10.1016/j.engappai.2024.108411,W4394629801
D2,水下图像增强与水下目标检测识别,13,Is Underwater Image Enhancement All Object Detectors Need?,"Yudong Wang, Jichang Guo, Wanru He, Huan Gao, Huihui Yue, Z. Zhang, Chong Li",IEEE Journal of Oceanic Engineering,2024,国内,99,10.1109/joe.2023.3302888,W4390493314
D2,水下图像增强与水下目标检测识别,14,Real-time underwater object detection technology for complex underwater environments based on deep learning,"Hui Zhou, Meiwei Kong, Hexiang Yuan, Yanyan Pan, Xinru Wang, Rong Chen, Weiheng Lu, Ruizhi Wang, Qunhui Yang",Ecological Informatics,2024,国内,96,10.1016/j.ecoinf.2024.102680,W4399517126
D2,水下图像增强与水下目标检测识别,15,Self-organized underwater image enhancement,"Hao Wang, Weibo Zhang, Peng Ren",ISPRS Journal of Photogrammetry and Remote Sensing,2024,国内,91,10.1016/j.isprsjprs.2024.06.019,W4400142372
D2,水下图像增强与水下目标检测识别,16,Edge‐guided representation learning for underwater object detection,"Linhui Dai, Hong Liu, Pinhao Song, Hao Tang, Runwei Ding, Shengquan Li",CAAI Transactions on Intelligence Technology,2024,国内,82,10.1049/cit2.12325,W4393443761
D2,水下图像增强与水下目标检测识别,17,Underwater Image Enhancement With Cascaded Contrastive Learning,"Yi Liu, Qiuping Jiang, Xinyi Wang, Ting Luo, Jingchun Zhou",IEEE Transactions on Multimedia,2024,国内,68,10.1109/tmm.2024.3521739,W4405755025
D2,水下图像增强与水下目标检测识别,18,TAFormer: A Transmission-Aware Transformer for Underwater Image Enhancement,"Yuanyuan Li, Zetian Mi, Yulin Wang, Shuaiyong Jiang, Xianping Fu",IEEE Transactions on Circuits and Systems for Video Technology,2024,国内,58,10.1109/tcsvt.2024.3455353,W4402299949
D2,水下图像增强与水下目标检测识别,19,Underwater Salient Object Detection via Dual-Stage Self-Paced Learning and Depth Emphasis,"Jin Jianhui, Qiuping Jiang, Qingyuan Wu, Binwei Xu, Runmin Cong",IEEE Transactions on Circuits and Systems for Video Technology,2024,国内,46,10.1109/tcsvt.2024.3491907,W4404056751
D2,水下图像增强与水下目标检测识别,20,DDformer: Dimension decomposition transformer with semi-supervised learning for underwater image enhancement,"Zhi Gao, Jing Yang, Fengling Jiang, Xixiang Jiao, Kia Dashtipour, Mandar Gogate, Amir Hussain",Knowledge-Based Systems,2024,国内,42,10.1016/j.knosys.2024.111977,W4398744633
D2,水下图像增强与水下目标检测识别,21,DMML: Deep Multi-Prior and Multi-Discriminator Learning for Underwater Image Enhancement,"Alireza Esmaeilzehi, Yang Ou, M. Omair Ahmad, M.N.S. Swamy",IEEE Transactions on Broadcasting,2024,国内(合作),27,10.1109/tbc.2024.3349773,W4391216887
D2,水下图像增强与水下目标检测识别,22,DCGF: Diffusion-Color-Guided Framework for Underwater Image Enhancement,"Yuhan Zhang, Jieyu Yuan, Zhanchuan Cai",IEEE Transactions on Geoscience and Remote Sensing,2024,国内(合作),26,10.1109/tgrs.2024.3522685,W4405778964
D2,水下图像增强与水下目标检测识别,23,A systematic review and analysis of deep learning-based underwater object detection,"Shubo Xu, Minghua Zhang, Wei Song, Haibin Mei, Qi He, Antonio Liotta",Neurocomputing,2023,国内,314,10.1016/j.neucom.2023.01.056,W4315498985
D2,水下图像增强与水下目标检测识别,24,Twin Adversarial Contrastive Learning for Underwater Image Enhancement and Beyond,"Risheng Liu, Zhiying Jiang, Shuzhou Yang, Xin Fan",IEEE Transactions on Image Processing,2022,国内,386,10.1109/tip.2022.3190209,W4285821234
D2,水下图像增强与水下目标检测识别,25,UIEC^2-Net: CNN-based underwater image enhancement using two color space,"Yudong Wang, Jichang Guo, Huan Gao, Huihui Yue",Signal Processing Image Communication,2021,国内,379,10.1016/j.image.2021.116250,W3153781409
D2,水下图像增强与水下目标检测识别,26,Internet of underwater things and big marine data analytics – a comprehensive survey,"Mohammad Jahanbakht, Xiang, Wei, Hanzo, Lajos, Azghadi, Mostafa Rahimi",ResearchOnline at James Cook University (James Cook University),2021,国外,318,,W3121887140
D2,水下图像增强与水下目标检测识别,27,Lightweight Deep Neural Network for Joint Learning of Underwater Object Detection and Color Conversion,"Chia-Hung Yeh, Chu-Han Lin, Li-Wei Kang, Chih-Hsiang Huang, Min-Hui Lin, Chuan‐Yu Chang, Chua‐Chin Wang",IEEE Transactions on Neural Networks and Learning Systems,2021,国外,262,10.1109/tnnls.2021.3072414,W3159459366
D3,养殖水质与环境时序预测预警,1,Advanced machine learning models for robust prediction of water quality index and classification,"Abdessamad Elmotawakkil, Nourddine Enneya, Suraj Kumar Bhagat, Mohamed Ouda, Vikram Kumar",Journal of Hydroinformatics,2025,国外,62,10.2166/hydro.2025.290,W4407102089
D3,养殖水质与环境时序预测预警,2,Data-driven prediction of effluent quality in wastewater treatment processes: Model performance optimization and missing-data handling,"Zhicheng Deng, Jinquan Wan, Gang Ye, Yan Wang",Journal of Water Process Engineering,2025,国内,26,10.1016/j.jwpe.2025.107352,W4407961593
D3,养殖水质与环境时序预测预警,3,Machine Learning on Low-Cost Edge Devices for Real-Time Water Quality Prediction in Tilapia Aquaculture,"Pinit Nuangpirom, Siwasit Pitjamit, Veerachai Jaikampan, Chanotnon Peerakam, Wasawat Nakkiew, Parida Jewpanya",Sensors,2025,国外,14,10.3390/s25196159,W4414860890
D3,养殖水质与环境时序预测预警,4,Surface water quality classification and prediction model based on multiple machine learning algorithms,"Gao Man, Qian Yun, Qilin Zhang, Liu Yuyong, Zhang Zhuoshi",Scientific Reports,2025,国内,11,10.1038/s41598-025-23775-5,W4416226477
D3,养殖水质与环境时序预测预警,5,Dissolved Oxygen Modeling by a Bayesian-Optimized Explainable Artificial Intelligence Approach,"Qiulin Li, Jinchao He, Dewei Mu, Hao Liu, Shicheng Li",Applied Sciences,2025,国内,10,10.3390/app15031471,W4407035260
D3,养殖水质与环境时序预测预警,6,Rapid Prediction and Inversion of Pond Aquaculture Water Quality Based on Hyperspectral Imaging by Unmanned Aerial Vehicles,"Qiliang Ma, Shuimiao Li, Hengnian Qi, Xiaoming Yang, Mei Liu",Water,2025,国内,8,10.3390/w17040517,W4407353861
D3,养殖水质与环境时序预测预警,7,Estimation of water quality in coastal aquaculture waters using the combination of machine learning and unmanned aerial vehicle multispectral imagery,"Weiqiang Li, Min Ren, Haibo Zhang, Yue Duan, Daosheng Chen, S. Li, Mingshan Xu, Lihua Wang, Xiaodong Yang",Aquaculture,2025,国内,8,10.1016/j.aquaculture.2025.743002,W4412672664
D3,养殖水质与环境时序预测预警,8,Advances in machine learning and IoT for water quality monitoring: A comprehensive review,"Ismail Essamlali, Hasna Nhaila, Mohamed El Khaïli",Heliyon,2024,国外,254,10.1016/j.heliyon.2024.e27920,W4392747860
D3,养殖水质与环境时序预测预警,9,Reliable water quality prediction and parametric analysis using explainable AI models,"M. K. Nallakaruppan, E. Gangadevi, M. Lawanya Shri, Balamurugan Balusamy, Sweta Bhattacharya, Shitharth Selvarajan",Scientific Reports,2024,国外,146,10.1038/s41598-024-56775-y,W4393306481
D3,养殖水质与环境时序预测预警,10,A Comprehensive Review of Machine Learning for Water Quality Prediction over the Past Five Years,"Xiaohui Yan, Tianqi Zhang, Wenying Du, Qingjia Meng, Xinghan Xu, Xiang Zhao",Journal of Marine Science and Engineering,2024,国内,117,10.3390/jmse12010159,W4390880644
D3,养殖水质与环境时序预测预警,11,An Intelligent Early Warning System for Harmful Algal Blooms: Harnessing the Power of Big Data and Deep Learning,"Jing Qian, Li Qian, Nan Pu, Yonghong Bi, Andre Wilhelms, Stefan Norra",Environmental Science & Technology,2024,国内(合作),57,10.1021/acs.est.3c03906,W4392381527
D3,养殖水质与环境时序预测预警,12,"Assessing and predicting water quality index with key water parameters by machine learning models in coastal cities, China","Jing Xu, Yuming Mo, Senlin Zhu, Jinran Wu, Guangqiu Jin, You‐Gan Wang, Qingfeng Ji, Ling Li",Heliyon,2024,国内,44,10.1016/j.heliyon.2024.e33695,W4400138865
D3,养殖水质与环境时序预测预警,13,A Machine-Learning-Based Framework for Retrieving Water Quality Parameters in Urban Rivers Using UAV Hyperspectral Images,"Liu Bing, Tianhong Li",Remote Sensing,2024,国内,39,10.3390/rs16050905,W4392380908
D3,养殖水质与环境时序预测预警,14,Estimation of Non-Optically Active Water Quality Parameters in Zhejiang Province Based on Machine Learning,"Lingfang Gao, Yulin Shangguan, Sun Zhong, Qiaohui Shen, Zhou Shi",Remote Sensing,2024,国内,38,10.3390/rs16030514,W4391351274
D3,养殖水质与环境时序预测预警,15,Dissolved oxygen prediction using regularized extreme learning machine with clustering mechanism in a black bass aquaculture pond,"Pei Shi, Liang Kuang, Limin Yuan, Quan Wang, Guanghui Li, Yuan Yongming, Yonghong Zhang, Guangyan Huang",Aquacultural Engineering,2024,国内(合作),27,10.1016/j.aquaeng.2024.102408,W4391539745
D3,养殖水质与环境时序预测预警,16,Deep Learning for Water Quality Prediction—A Case Study of the Huangyang Reservoir,"Jixuan Chen, Xiaojuan Wei, Yinxiao Liu, Chunxia Zhao, Zhenan Liu, Zhikang Bao",Applied Sciences,2024,国内,16,10.3390/app14198755,W4402989430
D3,养殖水质与环境时序预测预警,17,Short-term prediction of dissolved oxygen and water temperature using deep learning with dual proportional-integral-derivative error corrector in pond culture,"Xinhui Zhou, Yinfeng Hao, Yang Liu, Lanxue Dang, Baojun Qiao, Xianyu Zuo",Engineering Applications of Artificial Intelligence,2024,国内,16,10.1016/j.engappai.2024.109964,W4405936041
D3,养殖水质与环境时序预测预警,18,Prediction Model of Ammonia Nitrogen Concentration in Aquaculture Based on Improved AdaBoost and LSTM,"Yiyang Wang, Dehao Xu, Xianpeng Li, Wei Wang",Mathematics,2024,国内(合作),16,10.3390/math12050627,W4391953685
D3,养殖水质与环境时序预测预警,19,Accurate Prediction of Dissolved Oxygen in Perch Aquaculture Water by DE-GWO-SVR Hybrid Optimization Model,"Xingsheng Bao, Yilun Jiang, Lintong Zhang, Bo Liu, Linjie Chen, Wenqing Zhang, Lihang Xie, Xinze Liu, Fangfang Qu, Renye Wu",Applied Sciences,2024,国内,15,10.3390/app14020856,W4391034898
D3,养殖水质与环境时序预测预警,20,Prediction of the Dissolved Oxygen Content in Aquaculture Based on the CNN-GRU Hybrid Neural Network,"Ying Ma, Qiwei Fang, Shengwei Xia, Yu Zhou",Water,2024,国内,13,10.3390/w16243547,W4405241160
D3,养殖水质与环境时序预测预警,21,A dissolved oxygen levels prediction method based on single-hidden layer feedforward neural network using neighborhood information metric,"Luo Yongming, Jingjing Hu, Gangqiang Zhang, Pengfei Zhang, Ying Xie, Zhaomin Kuang, Zeng Xingji, Shushi Li",Applied Soft Computing,2024,国内,10,10.1016/j.asoc.2024.112328,W4403312192
D3,养殖水质与环境时序预测预警,22,ISSA optimized spatiotemporal prediction model of dissolved oxygen for marine ranching integrating DAM and Bi-GRU,"Wenjing Liu, Ji Wang, Zhenhua Li, Qi-Zirui Lu",Frontiers in Marine Science,2024,国内,4,10.3389/fmars.2024.1473551,W4403490589
D3,养殖水质与环境时序预测预警,23,"Harmful Cyanobacterial Blooms: Biological Traits, Mechanisms, Risks, and Control Strategies","Lirong Song, Yunlu Jia, Boqiang Qin, Renhui Li, Wayne W. Carmichael, Nanqin Gan, Hai Xu, Kun Shan, Assaf Sukenik",Annual Review of Environment and Resources,2023,国内,112,10.1146/annurev-environ-112320-081653,W4386553240
D3,养殖水质与环境时序预测预警,24,A review of the application of machine learning in water quality evaluation,"Mengyuan Zhu, Jiawei Wang, Xiao Yang, Yu Zhang, Linyu Zhang, Hongqiang Ren, Bing Wu, Lin Ye",Eco-Environment & Health,2022,国内,785,10.1016/j.eehl.2022.06.001,W4284958113
D3,养殖水质与环境时序预测预警,25,A comprehensive method for improvement of water quality index (WQI) models for coastal water quality assessment,"Md Galal Uddin, Stephen Nash, Azizur Rahman, Agnieszka I. Olbert",Water Research,2022,国外,378,10.1016/j.watres.2022.118532,W4225248915
D3,养殖水质与环境时序预测预警,26,"A Hybrid Model for Water Quality Prediction Based on an Artificial Neural Network, Wavelet Transform, and Long Short-Term Memory","Tunhua Wu, Zhaocai Wang",Water,2022,国内,212,10.3390/w14040610,W4212928315
D3,养殖水质与环境时序预测预警,27,Widespread deoxygenation of temperate lakes,"Stephen F. Jane, Gretchen J. A. Hansen, Benjamin M. Kraemer, Peter R. Leavitt, Joshua L. Mincer, Rebecca L. North, Rachel M. Pilla, Jonathan T. Stetler, Craig E. Williamson, R. Iestyn Woolway, Лаури Арвола, Sudeep Chandra",Nature,2021,国外,708,10.1038/s41586-021-03550-y,W3165282863
D4,水产动物病害智能诊断与健康评估,1,An Edge-Ready Lightweight Computer Vision Framework for On-Site Fish Disease Detection in Aquaculture Management,"Jiawen Li, Weidong Zhang, Shengzhao Xiao, Xuanzhong Chen, Yuesheng Huang, Jujian Lv, Kaihan Lin, Xianglei Hu, Xianxian Zeng, Rongjun Chen",Fishes,2026,国内,2,10.3390/fishes11050280,W7160856879
D4,水产动物病害智能诊断与健康评估,2,YOLO-TPS: A Multi-Module Synergistic High-Precision Fish-Disease Detection Model for Complex Aquaculture Environments,"Cheng Ouyang, Hao Peng, Mingyu Tan, Lin Yang, Jingtao Deng, Jiang Pin, Wenwu Hu, Yi Wang",Animals,2025,国内,13,10.3390/ani15162356,W4413182513
D4,水产动物病害智能诊断与健康评估,3,Detection and identification of fish skin lesions in the underwater environment based on improved YOLOv8 model for aquaculture,"Duanrui Wang, Hongjian Lv, Xingyue Zhu, Qiwei Qin, Shaowen Wang, Haibin Ye, Yi Shi, Chi-Chang Wu",Aquaculture,2025,国内,11,10.1016/j.aquaculture.2025.742722,W4410495816
D4,水产动物病害智能诊断与健康评估,4,FDMNet: A Multi-Task Network for Joint Detection and Segmentation of Three Fish Diseases,"Zhuofu Liu, Zigan Yan, G. Li",Journal of Imaging,2025,国内,7,10.3390/jimaging11090305,W4414065275
D4,水产动物病害智能诊断与健康评估,5,Building a fish disease detection application based on Smart Fishery with Image Processing and Deep Learning,"Rista Aryanti, Ari Purno Wahyu Wibowo",Brilliance Research of Artificial Intelligence,2025,国外,5,10.47709/brilliance.v5i1.5719,W4412528154
D4,水产动物病害智能诊断与健康评估,6,FishMambaNet: A Mamba-Based Vision Model for Detecting Fish Diseases in Aquaculture,"Zhijie Luo, Rui Chen, Shaoxin Li, Jianhua Zheng, Jianjun Guo",Fishes,2025,国内,3,10.3390/fishes10120649,W4417381806
D4,水产动物病害智能诊断与健康评估,7,GAB-YOLO: a lightweight deep learning model for real-time detection of abnormal behaviors in juvenile greater amberjack fish,"Mingxin Liu, Chun Zhang, Cong Lin",Frontiers in Marine Science,2025,国内,3,10.3389/fmars.2025.1574580,W4410215962
D4,水产动物病害智能诊断与健康评估,8,Integration of contrast-adaptive colour correction and convolutional neural network for cryptocaryon fish disease detection,"Nor Hazlyna Harun, Siti Naquiah Md Pauzi, Mohamad Ghozali Hassan, Nooraini Yusoff, Beng Chu Kua, Neil Gordon",Aquaculture and Fisheries,2025,国内,1,10.1016/j.aaf.2025.11.008,W7117799086
D4,水产动物病害智能诊断与健康评估,9,YOLO-FD: An accurate fish disease detection method based on multi-task learning,"Xuefei Li, Shili Zhao, Chunlin Chen, Hongwu Cui, Daoliang Li, Ran Zhao",Expert Systems with Applications,2024,国内,76,10.1016/j.eswa.2024.125085,W4401629867
D4,水产动物病害智能诊断与健康评估,10,"Cutting‐edge technologies for detecting and controlling fish diseases: Current status, outlook, and challenges","Sk Injamamul Islam, Foysal Ahammad, Haitham H. Mohammed",Journal of the World Aquaculture Society,2024,国外,75,10.1111/jwas.13051,W4391329649
D4,水产动物病害智能诊断与健康评估,11,Rapid detection of fish with SVC symptoms based on machine vision combined with a NAM-YOLO v7 hybrid model,"Yaoyi Cai, Zekai Yao, Haibo Jiang, Wei Qin, Jun Xiao, Xiuxiang Huang, Jiaji Pan, Hao Feng",Aquaculture,2024,国内,63,10.1016/j.aquaculture.2024.740558,W4390640160
